eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
909247,ISC-GEM,1927,5,13,15,13,3.46,nan,120.47,13.539,15.2,12.7,nan,35.0,52.6,5.73,0.25,
909271,ISC-GEM,1927,5,22,11,56,48.95,nan,125.996,13.834,16.8,11.4,nan,35.0,25.0,5.84,0.2,
909320,ISC-GEM,1927,6,6,5,35,44.97,nan,127.382,8.438,38.1,23.5,nan,35.0,12.4,5.86,0.2,
909324,ISC-GEM,1927,6,7,9,36,34.66,nan,126.642,9.928,40.8,23.0,nan,15.0,14.5,5.62,0.2,
909337,ISC-GEM,1927,6,14,9,24,10.78,nan,126.552,7.046,32.1,19.4,nan,35.0,32.9,5.79,0.29,
909342,ISC-GEM,1927,6,18,0,56,5.67,nan,119.173,17.562,21.4,8.6,nan,15.0,25.0,5.74,0.2,
909353,ISC-GEM,1927,6,28,1,42,3.93,nan,119.426,12.072,34.2,11.0,nan,15.0,25.0,5.58,0.2,
909450,ISC-GEM,1927,8,13,11,46,27.18,nan,126.252,12.062,24.6,15.1,nan,15.0,6.4,5.65,0.27,
909473,ISC-GEM,1927,8,24,18,8,59.64,nan,120.461,23.285,5.8,4.0,nan,10.0,6.8,6.48,0.32,
909476,ISC-GEM,1927,8,25,16,52,40.24,nan,125.768,3.218,33.0,28.1,nan,15.0,51.0,5.62,0.2,
909542,ISC-GEM,1927,10,5,16,36,22.73,nan,124.993,23.925,44.1,20.0,nan,15.0,8.2,5.53,0.47,
909553,ISC-GEM,1927,10,10,17,49,20.46,nan,122.658,23.377,62.6,28.1,nan,15.0,12.8,5.56,0.2,
909636,ISC-GEM,1927,11,18,3,24,47.15,nan,125.986,9.564,14.9,8.9,nan,35.0,23.1,6.33,0.34,
908474,ISC-GEM,1928,1,27,22,22,32.54,nan,122.075,21.53,21.0,11.2,nan,15.0,25.0,5.91,0.3,
908507,ISC-GEM,1928,2,23,9,20,39.55,nan,121.788,21.128,25.1,11.9,nan,15.0,25.0,5.68,0.2,
908527,ISC-GEM,1928,3,9,10,53,30.63,nan,128.042,3.951,18.6,8.4,nan,35.0,31.1,5.91,0.23,
908533,ISC-GEM,1928,3,12,16,55,48.28,nan,124.909,10.348,56.7,26.8,nan,15.0,15.1,5.68,0.21,
908586,ISC-GEM,1928,4,7,7,33,43.26,nan,120.404,21.884,21.8,11.6,nan,15.0,9.7,5.42,0.2,
908649,ISC-GEM,1928,4,27,13,48,49.68,nan,120.348,20.791,20.9,10.0,nan,15.0,8.9,5.54,0.2,
908741,ISC-GEM,1928,6,15,6,12,42.47,nan,121.145,12.856,8.7,5.7,nan,25.0,28.1,6.99,0.56,
908750,ISC-GEM,1928,6,18,21,56,43.24,nan,129.176,2.121,47.2,20.1,nan,15.0,12.7,5.74,0.2,
908761,ISC-GEM,1928,6,29,19,39,52.09,nan,127.133,4.351,25.6,14.0,nan,25.0,25.4,5.97,0.2,
908769,ISC-GEM,1928,7,4,21,38,34.31,nan,126.586,23.305,24.4,11.9,nan,15.0,25.0,5.66,0.2,
908824,ISC-GEM,1928,8,5,14,41,58.96,nan,119.621,15.699,14.2,10.9,nan,35.0,13.3,6.16,0.22,
908827,ISC-GEM,1928,8,12,8,8,41.74,nan,126.962,1.908,11.4,7.1,nan,15.0,37.4,6.12,0.23,
908888,ISC-GEM,1928,9,13,3,26,27.35,nan,126.011,1.927,12.1,7.5,nan,35.0,20.6,6.41,0.28,
908972,ISC-GEM,1928,11,21,16,59,59.51,nan,120.316,14.999,23.7,11.2,nan,15.0,27.4,5.93,0.2,
909023,ISC-GEM,1928,12,19,11,37,19.4,nan,124.245,6.707,11.5,6.2,nan,25.0,25.0,7.42,0.66,
909032,ISC-GEM,1928,12,28,14,19,43.26,nan,123.345,7.712,11.6,6.5,nan,15.0,19.3,6.77,0.29,
907841,ISC-GEM,1929,1,2,2,27,11.81,nan,121.204,23.987,8.7,7.0,nan,35.0,6.8,5.81,0.2,
907857,ISC-GEM,1929,1,16,8,6,11.76,nan,120.812,16.51,8.8,6.5,nan,25.0,9.7,6.42,0.48,
907956,ISC-GEM,1929,3,20,21,10,34.48,nan,120.187,19.113,16.0,9.7,nan,15.0,5.0,5.96,0.51,
907990,ISC-GEM,1929,4,5,8,26,48.81,nan,121.176,19.866,32.0,11.0,nan,15.0,10.4,5.64,0.21,
907995,GUTE,1929,4,8,10,16,53.0,nan,124.6,7.8,nan,nan,nan,610.0,nan,6.8,0.2,
908118,ISC,1929,6,4,15,15,42.1,0.5,125.5884,6.6315,15.39,7.588,79.0,200.0,nan,7.0,0.2,
908140,ISC-GEM,1929,6,13,9,24,43.56,nan,126.0,8.053,9.6,7.2,nan,35.0,25.1,7.21,0.34,
908176,ISC-GEM,1929,6,30,2,44,52.74,nan,126.896,8.813,12.2,7.0,nan,30.0,16.2,6.44,0.2,
908226,GUTE,1929,7,21,13,15,59.0,nan,124.0,14.5,nan,nan,nan,35.0,nan,5.6,0.2,
908226,ISC-GEM,1929,7,21,13,15,59.25,nan,124.713,13.658,19.0,11.2,nan,35.0,10.5,5.75,0.2,
908227,ISC-GEM,1929,7,23,14,45,37.11,nan,128.19,4.498,32.1,23.7,nan,15.0,35.6,5.68,0.2,
908274,ISC-GEM,1929,8,19,2,43,9.61,nan,122.167,23.972,4.9,3.7,nan,35.0,6.4,6.63,0.47,
908282,ISC-GEM,1929,8,21,9,26,38.71,nan,122.087,13.776,28.8,19.2,nan,35.0,25.0,5.65,0.34,
908296,ISC-GEM,1929,9,2,11,12,42.05,nan,126.981,8.181,14.1,10.5,nan,35.0,15.6,6.13,0.2,
908315,ISC-GEM,1929,9,19,11,3,54.04,nan,127.73,8.858,41.8,17.4,nan,15.0,25.0,5.73,0.2,
908318,GUTE,1929,9,21,18,54,23.0,nan,125.0,10.0,nan,nan,nan,300.0,nan,6.0,0.2,
908359,ISC-GEM,1929,10,22,18,38,31.11,nan,121.337,22.638,10.8,5.8,nan,15.0,12.3,5.74,0.44,
908362,GUTE,1929,10,24,6,34,13.0,nan,118.0,22.0,nan,nan,nan,35.0,nan,6.5,0.2,
908362,ISC-GEM,1929,10,24,6,34,19.63,nan,119.539,22.067,10.5,6.3,nan,15.0,13.1,6.29,0.26,
908385,ISC-GEM,1929,11,13,0,34,26.06,nan,125.302,2.675,79.9,15.1,nan,15.0,19.5,6.07,0.21,
908392,ISC-GEM,1929,11,17,3,43,17.13,nan,126.374,6.35,10.8,7.3,nan,35.0,24.7,6.85,0.26,
907275,ISC-GEM,1930,3,15,3,56,38.78,nan,127.207,2.817,57.8,10.9,nan,35.0,14.2,5.69,0.42,
907303,ISC-GEM,1930,4,2,4,14,28.99,nan,125.589,3.779,29.7,14.8,nan,15.0,25.0,5.74,0.2,
907304,ISC-GEM,1930,4,2,19,54,50.85,nan,127.083,4.398,17.7,9.3,nan,35.0,25.4,5.84,0.2,
907410,ISC-GEM,1930,5,19,15,3,45.26,nan,121.232,21.439,7.7,5.1,nan,15.0,9.2,6.0,0.2,
907427,GUTE,1930,5,30,12,56,55.0,nan,124.5,2.0,nan,nan,nan,300.0,nan,6.2,0.2,
907443,ISC-GEM,1930,6,11,10,23,59.21,nan,128.557,7.924,59.1,24.2,nan,15.0,25.0,5.77,0.2,
907510,GUTE,1930,7,21,14,6,2.0,nan,114.0,7.0,nan,nan,nan,35.0,nan,6.0,0.2,
907610,ISC-GEM,1930,9,24,7,38,9.48,nan,128.93,11.258,63.5,20.8,nan,35.0,25.0,5.77,0.35,
