eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,Anthropogenic
362899,EHB,EHB|NEIC-Mb,1990,7,16,9,28,36.54,,121.009,15.633,19.5,7.8,58.0,46.0,,5.02,0.283,,793883|NEIC|4.90|mb,793885|ISC|5.00|mb
362900,ISC-EHB,ISC-EHB|ISC-Ms,1990,7,16,9,29,9.49,,120.405,16.4,4.5,4.2,46.0,29.0,1.4,5.94,0.34,,793888|NEIC|5.60|mb,793891|ISC|5.60|mb,793891|ISC|5.80|MS
362902,ISC-EHB,ISC-EHB|NEIC-Mb,1990,7,16,9,35,12.8,,120.36,16.418,23.3,16.3,66.0,15.0,,5.02,0.283,,793900|NEIC|4.90|mb,793901|ISC|5.00|mb
362906,ISC-EHB,ISC-EHB|ISC-Ms,1990,7,16,9,39,23.86,,120.867,16.542,5.3,3.9,62.0,18.0,1.3,6.26,0.307,,793911|NEIC|5.60|mb,793915|ISC|5.70|mb,793915|ISC|6.20|MS
362907,ISC,ISC|NEIC-Mb,1990,7,16,9,47,8.33,0.83,120.8093,16.7059,32.85,17.73,75.0,21.0,,4.56,0.283,,793918|NEIC|4.50|mb,793919|ISC|4.50|mb
362908,ISC,ISC|NEIC-Mb,1990,7,16,9,51,44.08,0.82,121.0033,16.3559,28.7,18.9,65.0,21.0,,4.79,0.283,,793920|NEIC|4.70|mb,793923|ISC|4.80|mb
362909,ISC,ISC|NEIC-Mb,1990,7,16,10,5,45.98,1.16,121.2838,16.3171,73.36,15.46,68.0,10.0,,4.67,0.283,,793924|NEIC|4.60|mb,793926|ISC|4.60|mb
362911,ISC-EHB,ISC-EHB|NEIC-Mb,1990,7,16,10,12,56.95,,125.565,9.232,7.6,5.3,72.0,18.0,2.7,5.48,0.283,,793935|NEIC|5.30|mb,793936|ISC|5.40|mb
362912,ISC,ISC|NEIC-Mb,1990,7,16,10,16,0.58,0.98,122.166,15.5823,84.43,13.85,64.0,26.0,,4.9,0.283,,793937|NEIC|4.80|mb,793939|ISC|4.80|mb
362913,ISC-EHB,ISC-EHB|NEIC-Msz,1990,7,16,10,24,25.55,,120.963,16.47,7.0,4.9,66.0,30.0,,5.33,0.179,,793941|NEIC|5.20|mb,793941|NEIC|4.80|MSZ,793944|ISC|5.10|mb
362915,ISC,ISC|NEIC-Mb,1990,7,16,10,32,59.61,1.12,120.0602,16.2945,29.53,16.05,93.0,43.0,,4.67,0.283,,793948|NEIC|4.60|mb,793949|ISC|4.50|mb
362917,ISC,ISC|NEIC-Mb,1990,7,16,10,37,23.08,0.73,121.4856,16.0649,25.95,11.09,94.0,35.0,,4.32,0.283,,793952|NEIC|4.30|mb,793954|ISC|4.50|mb
362920,ISC,ISC|NEIC-Mb,1990,7,16,11,0,15.82,2.71,121.0976,16.1434,45.05,34.15,164.0,38.0,,4.44,0.283,,793959|NEIC|4.40|mb
362923,ISC,ISC|NEIC-Mb,1990,7,16,11,5,42.55,0.78,120.4307,16.2335,17.91,9.274,119.0,32.0,,4.56,0.283,,793965|NEIC|4.50|mb,793968|ISC|4.50|mb
362924,ISC,ISC|NEIC-Mb,1990,7,16,11,14,11.09,0.71,121.1306,16.4371,17.24,10.55,79.0,21.0,,4.56,0.283,,793970|NEIC|4.50|mb,793972|ISC|4.50|mb
362925,ISC,ISC|NEIC-Mb,1990,7,16,11,18,4.88,1.11,120.5582,15.7265,75.85,21.63,75.0,35.0,,4.67,0.283,,793973|NEIC|4.60|mb,793975|ISC|4.60|mb
362927,ISC-EHB,ISC-EHB|NEIC-Mb,1990,7,16,11,29,28.25,,120.496,16.332,15.6,13.2,58.0,15.0,,4.9,0.283,,793978|NEIC|4.80|mb,793980|ISC|4.80|mb
362928,ISC,ISC|NEIC-Mb,1990,7,16,11,39,48.8,0.96,120.5188,16.2309,39.73,18.83,64.0,32.0,,4.79,0.283,,793982|NEIC|4.70|mb,793984|ISC|4.70|mb
362929,ISC,ISC|NEIC-Mb,1990,7,16,11,45,14.55,1.12,120.4047,16.1289,128.6,20.92,68.0,32.0,,4.44,0.283,,793986|NEIC|4.40|mb,793987|ISC|4.40|mb
362930,ISC,ISC|NEIC-Mb,1990,7,16,12,17,9.47,0.98,121.0062,16.2952,55.3,12.46,75.0,21.0,,4.67,0.283,,793989|NEIC|4.60|mb,793991|ISC|4.60|mb
362931,ISC-EHB,ISC-EHB|NEIC-Mb,1990,7,16,12,18,36.37,,120.968,16.077,10.8,6.7,65.0,15.0,,4.9,0.283,,793993|NEIC|4.80|mb,793995|ISC|4.90|mb
362932,ISC-EHB,ISC-EHB|NEIC-Mb,1990,7,16,12,32,5.35,,120.958,16.249,12.5,7.2,63.0,15.0,,5.14,0.283,,793996|NEIC|5.00|mb,793999|ISC|5.10|mb
362935,ISC-EHB,ISC-EHB|ISC-Ms,1990,7,16,13,2,42.34,,121.163,15.781,5.1,3.6,62.0,25.0,,5.26,0.159,,794009|NEIC|5.40|mb,794009|NEIC|4.70|MSZ,794012|ISC|5.50|mb,794012|ISC|4.70|MS
362937,EHB,EHB|NEIC-Mb,1990,7,16,13,17,40.65,,120.505,16.133,16.4,11.2,64.0,56.0,,5.02,0.283,,794015|NEIC|4.90|mb,794018|ISC|5.00|mb
362938,ISC,ISC|NEIC-Mb,1990,7,16,13,27,29.83,1.04,120.8294,15.8915,35.22,7.969,99.0,38.0,,4.44,0.283,,794019|NEIC|4.40|mb
362939,ISC-EHB,ISC-EHB|ISC-Ms,1990,7,16,13,31,18.21,,120.422,16.336,4.5,3.8,74.0,36.0,1.8,5.88,0.165,,794023|NEIC|5.50|mb,794023|NEIC|5.70|MSZ,794027|ISC|5.70|mb,794027|ISC|5.70|MS
362941,ISC-EHB,ISC-EHB|NEIC-Mb,1990,7,16,13,40,21.4,,120.435,16.355,17.8,14.8,99.0,15.0,,5.02,0.283,,794031|NEIC|4.90|mb,794033|ISC|5.00|mb
362942,ISC,ISC|NEIC-Mb,1990,7,16,13,43,40.72,1.24,120.8686,15.5641,42.49,14.63,101.0,35.0,,4.56,0.283,,794034|NEIC|4.50|mb,794036|ISC|4.50|mb
362944,ISC,ISC|NEIC-Mb,1990,7,16,14,17,34.06,1.14,121.0241,15.4892,191.7,22.51,71.0,35.0,,4.56,0.283,,794039|NEIC|4.50|mb,794041|ISC|4.40|mb
362946,ISC,ISC|NEIC-Mb,1990,7,16,14,23,54.49,1.01,120.6315,17.7162,22.03,9.967,109.0,10.0,,4.09,0.283,,794045|NEIC|4.10|mb,794046|ISC|4.10|mb
362953,ISC-EHB,ISC-EHB|ISC-Ms,1990,7,16,15,4,28.54,,120.329,16.388,6.5,6.2,142.0,30.0,2.8,5.51,0.194,,794060|NEIC|5.40|mb,794060|NEIC|5.00|MSZ,794064|ISC|5.50|mb,794064|ISC|5.10|MS
362955,ISC,ISC|NEIC-Mb,1990,7,16,15,8,6.88,0.89,120.5426,16.4015,48.34,12.22,89.0,19.0,,5.48,0.283,,794068|NEIC|5.30|mb,794071|ISC|5.30|mb
362957,ISC,ISC|NEIC-Mb,1990,7,16,15,18,14.17,1.27,120.6773,16.1725,61.18,18.47,88.0,32.0,,4.56,0.283,,794075|NEIC|4.50|mb
362959,ISC-EHB,ISC-EHB|NEIC-Mb,1990,7,16,15,32,14.42,,121.391,15.49,11.3,9.8,77.0,25.0,,5.02,0.283,,794082|NEIC|4.90|mb,794084|ISC|4.90|mb
362960,ISC,ISC|NEIC-Mb,1990,7,16,15,46,36.54,4.43,120.3337,16.1209,113.9,101.2,118.0,32.0,,4.56,0.283,,794085|NEIC|4.50|mb
362961,ISC,ISC|NEIC-Mb,1990,7,16,15,51,7.19,1.08,121.0871,16.5153,96.22,20.17,69.0,21.0,,4.44,0.283,,794088|NEIC|4.40|mb,794090|ISC|4.40|mb
362963,ISC,ISC|NEIC-Mb,1990,7,16,16,3,18.18,0.97,120.6899,17.0998,23.65,18.37,86.0,35.0,,4.67,0.283,,794094|NEIC|4.60|mb,794095|ISC|4.50|mb
362964,ISC-EHB,ISC-EHB|NEIC-Mb,1990,7,16,16,14,47.0,,120.701,13.894,13.1,6.6,60.0,157.0,7.2,4.79,0.283,,794099|NEIC|4.70|mb,794100|ISC|4.80|mb
362965,ISC-EHB,ISC-EHB|ISC-Ms,1990,7,16,16,19,34.18,,120.358,16.39,5.4,4.7,130.0,21.0,1.6,5.14,0.159,,794103|NEIC|5.30|mb,794106|ISC|5.50|mb,794106|ISC|4.50|MS
362967,EHB,EHB|NEIC-Mb,1990,7,16,16,30,44.0,,120.645,16.37,21.5,11.1,74.0,1.0,,4.44,0.283,,794111|NEIC|4.40|mb,794112|ISC|4.30|mb
362968,ISC,ISC|NEIC-Mb,1990,7,16,16,47,40.94,1.17,120.0826,16.0436,168.4,23.03,71.0,32.0,,4.56,0.283,,794113|NEIC|4.50|mb,794116|ISC|4.50|mb
362970,ISC-EHB,ISC-EHB|NEIC-Mb,1990,7,16,16,53,36.86,,121.178,15.774,18.9,7.9,63.0,15.0,,4.79,0.283,,794120|NEIC|4.70|mb,794123|ISC|4.70|mb
362971,ISC,ISC|NEIC-Mb,1990,7,16,17,2,26.95,0.9,120.7466,16.4202,27.91,8.052,87.0,19.0,,4.67,0.283,,794126|NEIC|4.60|mb,794127|ISC|4.60|mb
362973,ISC-EHB,ISC-EHB|NEIC-Mb,1990,7,16,17,25,21.71,,121.299,15.844,20.4,7.6,63.0,15.0,,4.9,0.283,,794130|NEIC|4.80|mb,794133|ISC|4.70|mb
362974,ISC,ISC|NEIC-Mb,1990,7,16,17,39,42.22,0.98,120.9828,16.0307,29.9,15.86,71.0,38.0,,4.67,0.283,,794134|NEIC|4.60|mb,794137|ISC|4.70|mb
362979,ISC,ISC|NEIC-Mb,1990,7,16,18,3,6.42,1.18,121.278,15.6724,90.94,20.25,65.0,35.0,,4.32,0.283,,794146|NEIC|4.30|mb,794149|ISC|4.30|mb
362982,ISC,ISC|NEIC-Mb,1990,7,16,18,26,30.67,1.24,120.956,16.503,82.59,16.33,73.0,19.0,,4.56,0.283,,794157|NEIC|4.50|mb,794158|ISC|4.60|mb
362989,ISC-EHB,ISC-EHB|GCMT-Mw,1990,7,16,19,45,26.62,,120.435,16.458,5.2,4.9,65.0,29.0,1.9,5.4,,,794185|NEIC|5.40|mb,794185|NEIC|5.30|MSZ,05192962|GCMT|5.40|MW,794189|ISC|5.50|mb,794189|ISC|5.50|MS
362993,ISC,ISC|NEIC-Mb,1990,7,16,20,14,1.13,1.75,120.8165,16.2631,44.85,16.11,95.0,21.0,,4.32,0.283,,794195|NEIC|4.30|mb
362994,ISC-EHB,ISC-EHB|ISC-Ms,1990,7,16,20,16,5.85,,120.516,16.449,8.4,8.0,176.0,22.0,3.7,5.45,0.159,,794199|NEIC|5.20|mb,794202|ISC|5.20|mb,794202|ISC|5.00|MS
362995,ISC-EHB,ISC-EHB|ISC-Ms,1990,7,16,20,31,25.0,,121.051,17.477,5.3,5.1,50.0,24.0,2.1,5.51,0.16,,794205|NEIC|5.10|mb,794205|NEIC|4.80|MSZ,794207|ISC|5.30|mb,794207|ISC|5.10|MS
362996,ISC,ISC|NEIC-Mb,1990,7,16,20,35,9.43,1.45,120.8228,17.6417,87.26,18.6,75.0,22.0,,4.56,0.283,,794208|NEIC|4.50|mb,794210|ISC|4.50|mb
362997,ISC-EHB,ISC-EHB|NEIC-Mb,1990,7,16,20,44,18.41,,121.35,15.529,6.7,4.6,74.0,22.0,2.5,5.14,0.283,,794212|NEIC|5.00|mb,794215|ISC|5.00|mb
362999,NEIC,NEIC|NEIC-Mb,1990,7,16,20,55,14.5,,121.039,15.296,,,,33.0,,4.32,0.283,,794219|NEIC|4.30|mb
363002,ISC-EHB,ISC-EHB|ISC-Ms,1990,7,16,21,26,20.46,,120.474,16.329,9.8,8.1,88.0,15.0,,5.39,0.159,,794226|NEIC|5.00|mb,794226|NEIC|4.60|MSZ,794229|ISC|5.20|mb,794229|ISC|4.90|MS
363003,ISC,ISC|NEIC-Mb,1990,7,16,21,27,18.6,2.6,120.1805,16.642,84.39,56.33,175.0,43.0,,5.14,0.283,,794232|NEIC|5.00|mb,01174161|ISC|5.10|mb
363004,ISC,ISC|NEIC-Mb,1990,7,16,21,28,43.27,4.64,121.6212,15.437,110.8,45.24,151.0,25.0,,4.9,0.283,,794234|NEIC|4.80|mb
363005,ISC-EHB,ISC-EHB|ISC-Ms,1990,7,16,21,29,57.62,,120.216,16.212,23.4,12.2,72.0,15.0,,5.39,0.159,,794237|NEIC|4.90|mb,794237|NEIC|4.80|MSZ,794240|ISC|5.00|mb,794240|ISC|4.90|MS
363006,ISC,ISC|NEIC-Mb,1990,7,16,21,39,32.71,1.02,121.0251,16.1596,32.01,16.98,86.0,38.0,,4.44,0.283,,794241|NEIC|4.40|mb,794242|ISC|4.40|mb
363008,ISC,ISC|NEIC-Mb,1990,7,16,22,14,36.66,1.26,121.1161,16.4728,40.63,13.76,76.0,21.0,,4.09,0.283,,794244|NEIC|4.10|mb
363014,ISC-EHB,ISC-EHB|ISC-Ms,1990,7,17,0,6,52.62,,120.871,17.143,9.5,9.2,73.0,15.0,3.0,5.02,0.192,,794263|NEIC|4.80|mb,794263|NEIC|4.80|MSZ,794265|ISC|5.10|mb,794265|ISC|4.30|MS
363016,ISC,ISC|NEIC-Msz,1990,7,17,0,22,43.72,2.76,121.1327,17.5067,69.25,59.94,148.0,22.0,,4.9,0.179,,794271|NEIC|4.40|mb,794271|NEIC|4.20|MSZ,794273|ISC|4.50|mb
363017,ISC,ISC|NEIC-Mb,1990,7,17,0,31,7.83,1.01,120.7655,16.1622,31.28,20.21,48.0,32.0,,5.02,0.283,,794276|NEIC|4.90|mb,794278|ISC|4.80|mb
363023,ISC,ISC|NEIC-Mb,1990,7,17,2,10,55.7,1.02,121.1106,16.2364,28.92,18.87,51.0,35.0,,4.32,0.283,,794289|NEIC|4.30|mb,794292|ISC|4.20|mb
363025,ISC,ISC|NEIC-Mb,1990,7,17,2,45,6.16,0.87,121.344,15.9312,43.71,15.81,67.0,35.0,,4.56,0.283,,794295|NEIC|4.50|mb,794298|ISC|4.60|mb
363030,ISC,ISC|NEIC-Mb,1990,7,17,3,59,56.06,0.9,121.2066,15.759,44.61,16.57,57.0,38.0,,4.9,0.283,,794309|NEIC|4.80|mb,794312|ISC|4.80|mb
363038,EHB,EHB|ISC-Ms,1990,7,17,4,46,10.68,,121.502,15.454,22.8,11.7,58.0,79.0,,4.89,0.159,,794330|NEIC|4.70|mb,794330|NEIC|4.10|MSZ,794333|ISC|4.80|mb,794333|ISC|4.10|MS
363046,ISC,ISC|NEIC-Mb,1990,7,17,5,26,8.65,1.1,120.9531,17.2914,22.82,19.8,50.0,22.0,,4.44,0.283,,794351|NEIC|4.40|mb,794352|ISC|4.20|mb
363050,ISC-EHB,ISC-EHB|GCMT-Mw,1990,7,17,6,11,16.56,,120.984,16.298,8.3,7.0,66.0,25.0,2.7,5.3,,,794360|NEIC|5.20|mb,794360|NEIC|4.60|MSZ,05192966|GCMT|5.30|MW,794364|ISC|5.30|mb,794364|ISC|5.00|MS
363053,ISC-EHB,ISC-EHB|NEIC-Mb,1990,7,17,7,20,28.83,,121.432,1.053,17.3,8.6,57.0,49.0,,5.25,0.283,,794371|NEIC|5.10|mb,794373|ISC|5.00|mb
363064,ISC,ISC|NEIC-Mb,1990,7,17,9,30,37.55,0.87,120.5177,16.1358,20.88,16.1,62.0,32.0,,4.67,0.283,,794395|NEIC|4.60|mb,794397|ISC|4.60|mb
363070,ISC,ISC|NEIC-Msz,1990,7,17,10,59,15.61,0.98,121.339,15.7743,31.15,18.96,56.0,35.0,,4.83,0.179,,794413|NEIC|4.60|mb,794413|NEIC|4.10|MSZ,794415|ISC|4.70|mb
363076,ISC,ISC|NEIC-Mb,1990,7,17,11,56,40.98,1.27,121.3958,15.6631,49.95,24.11,64.0,25.0,,4.44,0.283,,794429|NEIC|4.40|mb
363079,ISC,ISC|NEIC-Mb,1990,7,17,12,49,2.85,1.29,120.8659,16.1894,45.25,25.02,61.0,10.0,,4.56,0.283,,794436|NEIC|4.50|mb
363092,ISC,ISC|NEIC-Msz,1990,7,17,14,55,57.06,0.95,121.3559,16.2312,22.12,16.99,48.0,35.0,,4.69,0.179,,794464|NEIC|4.60|mb,794464|NEIC|3.90|MSZ,794466|ISC|4.60|mb
363096,ISC,ISC|NEIC-Mb,1990,7,17,15,54,26.17,1.18,120.7585,16.1709,45.11,22.19,62.0,10.0,,4.32,0.283,,794474|NEIC|4.30|mb,794476|ISC|4.30|mb
363097,ISC,ISC|NEIC-Msz,1990,7,17,16,24,32.28,0.87,121.0657,16.4355,22.98,16.37,43.0,21.0,,4.62,0.179,,794478|NEIC|4.50|mb,794478|NEIC|3.80|MSZ,794480|ISC|4.50|mb
363102,ISC-EHB,ISC-EHB|GCMT-Mw,1990,7,17,18,6,37.55,,120.805,16.444,5.2,3.7,58.0,24.0,1.3,6.0,,,794494|NEIC|5.50|mb,794494|NEIC|6.00|MSZ,05192968|GCMT|6.00|MW,794498|ISC|5.70|mb,794498|ISC|6.10|MS
363103,ISC,ISC|NEIC-Mb,1990,7,17,18,33,40.95,1.23,119.9596,16.1401,167.8,24.06,70.0,33.0,,4.32,0.283,,794500|NEIC|4.30|mb,794502|ISC|4.30|mb
363104,ISC-EHB,ISC-EHB|NEIC-Mb,1990,7,17,18,48,50.82,,120.992,17.385,7.5,6.6,34.0,15.0,,5.14,0.283,,794506|NEIC|5.00|mb,794507|ISC|5.10|mb
363112,EHB,EHB|ISC-Ms,1990,7,17,20,29,4.08,,120.744,16.087,17.5,12.5,61.0,35.0,,5.08,0.147,,794523|NEIC|4.60|mb,794523|NEIC|4.10|MSZ,794524|ISC|4.60|mb,794524|ISC|4.40|MS
363113,ISC-EHB,ISC-EHB|GCMT-Mw,1990,7,17,21,14,45.16,,121.003,16.457,4.4,3.2,52.0,25.0,1.8,6.5,,,794527|NEIC|6.10|mb,794527|NEIC|6.60|MSZ,5158179|NEIC|6.50|mw,05192970|GCMT|6.50|MW,794531|ISC|6.20|mb,794531|ISC|6.70|MS
363115,ISC-EHB,ISC-EHB|NEIC-Mb,1990,7,17,21,40,9.8,,121.046,16.384,16.5,8.5,59.0,10.0,6.1,5.14,0.283,,794534|NEIC|5.00|mb,794537|ISC|5.10|mb
363116,ISC-EHB,ISC-EHB|NEIC-Mb,1990,7,17,21,47,27.62,,121.02,17.238,9.4,9.1,162.0,15.0,,5.14,0.283,,794541|NEIC|5.00|mb,794542|ISC|5.00|mb
363118,ISC,ISC|NEIC-Mb,1990,7,17,21,54,21.93,0.91,121.509,15.6083,26.91,18.45,62.0,25.0,,4.9,0.283,,794546|NEIC|4.80|mb,794548|ISC|4.90|mb
363119,ISC,ISC|NEIC-Mb,1990,7,17,22,0,57.33,1.23,121.1125,16.3759,45.16,23.24,62.0,21.0,,4.32,0.283,,794549|NEIC|4.30|mb
363120,ISC,ISC|NEIC-Mb,1990,7,17,22,2,30.36,1.23,120.2308,16.3061,172.4,23.95,71.0,35.0,,4.21,0.283,,794553|NEIC|4.20|mb,794554|ISC|4.20|mb
363121,ISC-EHB,ISC-EHB|NEIC-Mb,1990,7,17,22,3,27.8,,121.01,16.361,16.5,10.9,63.0,15.0,,4.9,0.283,,794555|NEIC|4.80|mb,794558|ISC|4.80|mb
363122,ISC,ISC|NEIC-Mb,1990,7,17,22,7,39.39,1.16,120.563,16.1069,130.8,21.95,68.0,32.0,,4.56,0.283,,794560|NEIC|4.50|mb,794561|ISC|4.50|mb
363123,ISC,ISC|NEIC-Mb,1990,7,17,22,16,43.92,1.2,121.1021,16.4157,133.3,22.02,68.0,21.0,,4.44,0.283,,794562|NEIC|4.40|mb,794564|ISC|4.40|mb
363124,EHB,EHB|NEIC-Mb,1990,7,17,22,26,24.02,,120.948,16.352,13.2,8.4,58.0,116.0,,4.79,0.283,,794566|NEIC|4.70|mb,794569|ISC|4.70|mb
363125,ISC-EHB,ISC-EHB|NEIC-Mb,1990,7,17,22,29,52.73,,121.21,16.388,9.2,8.3,64.0,20.0,,5.14,0.283,,794572|NEIC|5.00|mb,794574|ISC|5.20|mb
363127,ISC,ISC|NEIC-Mb,1990,7,17,22,32,36.26,0.94,121.0844,16.3303,24.33,17.74,75.0,21.0,,4.79,0.283,,794579|NEIC|4.70|mb,794581|ISC|4.70|mb
363129,ISC-EHB,ISC-EHB|NEIC-Mb,1990,7,17,22,39,49.66,,120.985,16.304,11.5,7.2,59.0,15.0,,5.14,0.283,,794584|NEIC|5.00|mb,794587|ISC|5.00|mb
363130,ISC-EHB,ISC-EHB|NEIC-Mb,1990,7,17,22,46,3.55,,120.916,16.412,15.3,9.3,62.0,15.0,,5.14,0.283,,794588|NEIC|5.00|mb,794592|ISC|5.00|mb
363131,ISC,ISC|NEIC-Mb,1990,7,17,23,16,55.81,0.94,121.4689,16.5808,24.79,16.07,66.0,10.0,,5.02,0.283,,794596|NEIC|4.90|mb,794597|ISC|4.90|mb
363132,ISC-EHB,ISC-EHB|NEIC-Mb,1990,7,17,23,19,45.16,,120.511,16.218,10.3,8.7,68.0,15.0,,4.9,0.283,,794599|NEIC|4.80|mb,794602|ISC|4.90|mb
363138,ISC,ISC|NEIC-Mb,1990,7,18,1,32,30.08,1.14,121.4545,16.2783,31.56,19.54,64.0,35.0,,4.67,0.283,,794617|NEIC|4.60|mb,794621|ISC|4.60|mb
363140,ISC-EHB,ISC-EHB|ISC-Ms,1990,7,18,1,35,14.22,,120.972,16.509,5.5,4.7,61.0,22.0,1.9,5.26,0.192,,794626|NEIC|5.10|mb,794626|NEIC|4.60|MSZ,794628|ISC|5.20|mb,794628|ISC|4.70|MS
363141,ISC-EHB,ISC-EHB|ISC-Ms,1990,7,18,1,56,50.74,,121.014,16.389,7.0,5.6,64.0,24.0,6.8,5.51,0.194,,794632|NEIC|5.20|mb,794632|NEIC|4.80|MSZ,794634|ISC|5.30|mb,794634|ISC|5.10|MS
363142,EHB,EHB|NEIC-Mb,1990,7,18,2,1,17.67,,120.688,16.519,10.3,10.2,122.0,60.0,,5.02,0.283,,794636|NEIC|4.90|mb,794639|ISC|5.00|mb
363145,ISC,ISC|NEIC-Mb,1990,7,18,2,40,21.71,1.27,120.8903,16.3647,132.8,23.78,68.0,21.0,,4.56,0.283,,794647|NEIC|4.50|mb,794649|ISC|4.50|mb
363146,ISC,ISC|NEIC-Mb,1990,7,18,2,44,8.39,3.49,120.5213,16.2428,92.1,45.31,27.0,32.0,,4.44,0.283,,794652|NEIC|4.40|mb,794653|ISC|4.40|mb
363148,ISC,ISC|NEIC-Mb,1990,7,18,2,58,45.07,1.19,120.2064,16.2476,77.7,23.74,69.0,33.0,,4.44,0.283,,794656|NEIC|4.40|mb,794658|ISC|4.30|mb
363154,ISC,ISC|ISC-Ms,1990,7,18,4,36,16.24,1.02,121.6308,14.468,15.41,11.96,158.0,29.0,4.24,5.08,0.159,,794668|NEIC|4.90|mb,794668|NEIC|4.20|MSZ,794671|ISC|4.90|mb,794671|ISC|4.40|MS
363155,ISC-EHB,ISC-EHB|ISC-Ms,1990,7,18,4,37,51.68,,121.801,14.327,9.5,7.7,162.0,15.0,,5.08,0.147,,794672|NEIC|5.10|mb,794672|NEIC|4.40|MSZ,794675|ISC|5.10|mb,794675|ISC|4.40|MS
363156,ISC,ISC|NEIC-Mb,1990,7,18,4,57,19.32,1.45,121.5058,16.3856,57.25,23.28,54.0,35.0,,4.56,0.283,,794676|NEIC|4.50|mb,794678|ISC|4.50|mb
363161,ISC,ISC|NEIC-Mb,1990,7,18,5,47,38.67,1.2,121.1766,16.3718,89.89,21.09,65.0,21.0,,4.44,0.283,,794691|NEIC|4.40|mb,794694|ISC|4.50|mb
363164,ISC-EHB,ISC-EHB|ISC-Ms,1990,7,18,6,24,55.88,,120.399,16.221,13.7,11.9,70.0,15.0,,5.08,0.192,,794701|NEIC|4.70|mb,794701|NEIC|4.50|MSZ,794703|ISC|4.90|mb,794703|ISC|4.40|MS
363165,ISC,ISC|NEIC-Mb,1990,7,18,6,26,8.62,0.78,121.0216,16.4627,30.18,17.33,57.0,21.0,,4.67,0.283,,794706|NEIC|4.60|mb,794707|ISC|4.70|mb
363166,ISC,ISC|NEIC-Mb,1990,7,18,6,30,45.74,0.54,123.491,1.3611,10.73,8.546,7.0,32.0,,4.9,0.283,,794708|NEIC|4.80|mb,794709|ISC|4.80|mb
363168,ISC,ISC|NEIC-Mb,1990,7,18,6,37,28.88,1.12,121.1388,16.3207,30.3,20.06,70.0,35.0,,4.56,0.283,,794713|NEIC|4.50|mb,794715|ISC|4.50|mb
363171,ISC-EHB,ISC-EHB|ISC-Ms,1990,7,18,7,17,16.21,,120.769,16.588,6.6,5.7,62.0,22.0,2.7,5.45,0.192,,794722|NEIC|5.20|mb,794722|NEIC|4.80|MSZ,794724|ISC|5.30|mb,794724|ISC|5.00|MS
363172,ISC-EHB,ISC-EHB|GCMT-Mw,1990,7,18,8,0,15.23,,121.027,16.506,4.0,3.3,45.0,22.0,1.2,5.5,,,794726|NEIC|5.80|mb,794726|NEIC|5.30|MSZ,05192974|GCMT|5.50|MW,794731|ISC|6.00|mb,794731|ISC|5.40|MS
363185,ISC,ISC|NEIC-Mb,1990,7,18,10,3,19.41,1.24,121.0918,12.3246,34.63,15.97,71.0,24.0,,4.9,0.283,,794761|NEIC|4.80|mb,794764|ISC|4.80|mb
363186,ISC,ISC|NEIC-Mb,1990,7,18,10,16,40.65,3.88,120.7165,16.4144,105.9,52.61,26.0,19.0,,4.67,0.283,,794765|NEIC|4.60|mb,794767|ISC|4.60|mb
363204,ISC,ISC|NEIC-Mb,1990,7,18,13,9,2.5,1.75,127.0949,1.3513,40.61,13.61,44.0,103.0,,5.02,0.283,,794819|NEIC|4.90|mb,794820|ISC|4.80|mb
363219,ISC,ISC|NEIC-Mb,1990,7,18,14,59,20.21,1.13,121.3829,16.4846,25.9,18.84,50.0,35.0,,4.56,0.283,,794858|NEIC|4.50|mb,794861|ISC|4.50|mb
363228,ISC-EHB,ISC-EHB|ISC-Ms,1990,7,18,16,6,22.04,,121.007,16.312,9.9,8.7,53.0,15.0,,4.89,0.147,,794886|NEIC|4.90|mb,794886|NEIC|4.20|MSZ,794888|ISC|5.00|mb,794888|ISC|4.10|MS
363236,ISC,ISC|NEIC-Msz,1990,7,18,17,42,12.08,0.92,119.5627,15.6889,29.01,18.14,59.0,31.0,,4.76,0.179,,794914|NEIC|4.40|mb,794914|NEIC|4.00|MSZ,794916|ISC|4.50|mb
363253,ISC-EHB,ISC-EHB|ISC-Ms,1990,7,18,20,10,21.72,,123.575,12.632,8.3,6.3,66.0,20.0,2.5,5.14,0.159,,794954|NEIC|5.00|mb,794954|NEIC|4.60|MSZ,794956|ISC|5.20|mb,794956|ISC|4.50|MS
363290,ISC,ISC|NEIC-Mb,1990,7,19,3,53,43.75,0.95,121.4429,15.8035,35.84,20.53,65.0,35.0,,4.67,0.283,,795041|NEIC|4.60|mb,795043|ISC|4.60|mb
363293,ISC,ISC|NEIC-Mb,1990,7,19,4,25,34.93,1.07,122.2369,8.756,21.49,20.29,108.0,44.0,,4.67,0.283,,795052|NEIC|4.60|mb,795053|ISC|4.70|mb
363312,ISC,ISC|NEIC-Mb,1990,7,19,7,52,56.68,5.18,120.8798,15.6008,103.5,53.8,148.0,35.0,,4.56,0.283,,795093|NEIC|4.50|mb,795095|ISC|4.50|mb
