eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,str1,dip1,rake1,str2,dip2,rake2
910439,ISC-GEM,1925,4,7,18,5,41.52,,126.722,7.569,15.2,8.4,,25,36,6.37,0.2,,,,,,
910450,ISC-GEM,1925,4,16,19,52,40.38,,121.096,21.786,6.7,4.9,,15,10.6,7.13,0.36,,,,,,
910478,ISC-GEM,1925,5,5,10,6,14.19,,123.044,9.798,9.2,7,,15,4.5,6.82,0.48,,,,,,
910480,ISC-GEM,1925,5,5,11,58,45.08,,123.113,9.513,19.8,11.8,,15,25,6.15,0.26,,,,,,
910488,ISC-GEM,1925,5,7,12,11,43.47,,125.672,12.85,17.9,14.3,,35,13.1,6.23,0.3,,,,,,
910489,ISC-GEM,1925,5,7,14,34,13.11,,125.219,12.836,18,15.6,,35,18.3,6.35,0.2,,,,,,
910511,ISC-GEM,1925,5,24,1,24,27.59,,121.627,23.803,10.1,5.3,,15,7.1,6.3,0.2,,,,,,
910513,ISC-GEM,1925,5,25,3,43,19.96,,121.992,12.586,13.8,8.9,,35,13.5,6.35,0.31,,,,,,
910516,ISC-GEM,1925,5,26,15,37,12.21,,122.716,23.83,14.7,8.5,,35,14.3,6.31,0.23,,,,,,
910540,ISC-GEM,1925,6,14,5,38,14.34,,121.687,23.911,10.3,5.3,,15,7.1,5.98,0.2,,,,,,
910715,ISC-GEM,1925,10,18,8,26,1.86,,126.408,4.8,43.4,13.7,,35,35.9,5.97,0.61,,,,,,
910734,ISC-GEM,1925,11,13,12,14,50.93,,124.719,12.734,8.8,5.9,,20,53.1,7.24,0.2,,,,,,
910735,ISC-GEM,1925,11,14,8,10,56.21,,125.434,12.311,14.5,9.1,,35,11.1,6.06,0.7,,,,,,
910736,ISC-GEM,1925,11,14,10,3,34.62,,125.541,12.467,12.4,8.5,,35,11.1,6.12,0.23,,,,,,
910737,ISC-GEM,1925,11,14,14,37,7.92,,125.566,12.701,21,12.6,,35,11.1,6.05,0.58,,,,,,
910783,ISC-GEM,1925,12,26,18,23,45.37,,125.695,8.945,23,14.4,,20,27.9,6.48,0.2,,,,,,
909714,ISC-GEM,1926,1,18,16,55,56.65,,124.857,6.176,26.3,11.7,,15,19.1,5.98,0.2,,,,,,
909755,ISC-GEM,1926,3,4,9,30,57.9,,127.699,4.759,10.5,7.8,,15,31.3,6.57,0.24,,,,,,
909763,ISC-GEM,1926,3,13,19,35,54.18,,126.708,22.886,28.4,14.4,,15,25,5.89,0.2,,,,,,
909845,ISC-GEM,1926,5,20,7,2,18.53,,124.928,5.548,11.1,8.1,,35,13.4,6.55,0.2,,,,,,
909870,ISC-GEM,1926,6,13,2,3,0.54,,115.704,19.085,23.9,14.7,,15,25,5.84,0.2,,,,,,
909943,ISC-GEM,1926,7,15,21,47,18.05,,121.061,22.519,23.3,12,,15,6.2,5.91,0.2,,,,,,
909952,ISC-GEM,1926,7,23,5,16,55.13,,126.338,6.166,17.3,9.9,,35,35.4,6.07,0.2,,,,,,
909963,ISC-GEM,1926,8,2,5,1,34.74,,123.99,13.438,9.4,7.3,,15,18.3,6.74,0.29,,,,,,
909964,ISC-GEM,1926,8,2,12,41,20.08,,123.619,13.567,20.4,15.1,,35,22.1,6.07,0.2,,,,,,
909966,ISC-GEM,1926,8,3,3,41,38.09,,121.654,21.509,6.9,6.2,,15,27.8,6.6,0.4,,,,,,
910003,ISC-GEM,1926,8,6,12,6,49.03,,122.936,23.958,179.7,13.9,,35,7.8,6.07,0.21,,,,,,
910068,ISC-GEM,1926,8,20,3,8,41.14,,124.91,22.802,32.9,24,,15,51,5.73,0.2,,,,,,
910104,ISC-GEM,1926,9,12,15,43,48.39,,121.387,22.939,7.7,5,,15,7.3,6.53,0.21,,,,,,
910150,ISC-GEM,1926,10,11,7,26,40.47,,124.271,7.644,29.6,23.5,,15,7.9,5.91,0.2,,,,,,
16960027,ISC-GEM,1926,10,30,10,11,35.41,,119.76,15.993,13.8,9.9,,35,21.2,6.24,0.33,,,,,,
910250,ISC-GEM,1926,11,27,5,19,28.31,,124.808,11.415,13.3,11.4,,15,42.1,6.29,0.26,,,,,,
909044,ISC-GEM,1927,1,3,22,9,58.8,,121.122,22.654,23.4,7.3,,15,6.2,5.84,0.2,,,,,,
9342024,ISC-GEM,1927,1,12,0,5,33.64,,119.934,15.258,27.4,10.4,,36,15.4,5.94,0.2,,,,,,
909085,ISC-GEM,1927,2,5,7,36,20.93,,126.916,11.846,20.6,15.2,,15,25,5.82,0.2,,,,,,
909103,ISC-GEM,1927,2,18,22,56,22.94,,125.924,4.788,27.7,16.3,,35,23.1,5.96,0.2,,,,,,
909215,ISC-GEM,1927,4,23,13,20,38.52,,121.002,19.069,17.2,8.9,,35,13.6,5.69,0.21,,,,,,
909247,ISC-GEM,1927,5,13,15,13,3.46,,120.47,13.539,15.2,12.7,,35,52.6,5.73,0.25,,,,,,
909271,ISC-GEM,1927,5,22,11,56,48.95,,125.996,13.834,16.8,11.4,,35,25,5.84,0.2,,,,,,
909320,ISC-GEM,1927,6,6,5,35,44.97,,127.382,8.438,38.1,23.5,,35,12.4,5.86,0.2,,,,,,
909324,ISC-GEM,1927,6,7,9,36,34.66,,126.642,9.928,40.8,23,,15,14.5,5.62,0.2,,,,,,
909328,ISC-GEM,1927,6,9,11,36,46.23,,120.468,22.068,12,7.8,,15,9.7,5.48,0.61,,,,,,
909337,ISC-GEM,1927,6,14,9,24,10.78,,126.552,7.046,32.1,19.4,,35,32.9,5.79,0.29,,,,,,
909342,ISC-GEM,1927,6,18,0,56,5.67,,119.173,17.562,21.4,8.6,,15,25,5.74,0.2,,,,,,
909353,ISC-GEM,1927,6,28,1,42,3.93,,119.426,12.072,34.2,11,,15,25,5.58,0.2,,,,,,
909361,ISC-GEM,1927,7,3,8,16,41.53,,124.659,13.332,24.1,13.5,,35,10.5,5.98,0.28,,,,,,
909450,ISC-GEM,1927,8,13,11,46,27.18,,126.252,12.062,24.6,15.1,,15,6.4,5.65,0.27,,,,,,
909473,ISC-GEM,1927,8,24,18,8,59.64,,120.461,23.285,5.8,4,,10,6.8,6.48,0.32,,,,,,
909476,ISC-GEM,1927,8,25,16,52,40.24,,125.768,3.218,33,28.1,,15,51,5.62,0.2,,,,,,
909542,ISC-GEM,1927,10,5,16,36,22.73,,124.993,23.925,44.1,20,,15,8.2,5.53,0.47,,,,,,
909553,ISC-GEM,1927,10,10,17,49,20.46,,122.658,23.377,62.6,28.1,,15,12.8,5.56,0.2,,,,,,
909591,ISC-GEM,1927,10,27,19,41,16.86,,123.958,7.015,52.3,23.4,,35,25,5.78,0.2,,,,,,
909631,ISC-GEM,1927,11,16,21,10,10.28,,125.902,6.682,11,5.5,,35,51.3,6.96,0.34,,,,,,
909635,ISC-GEM,1927,11,17,22,35,22.74,,126.81,6.6,25.7,12.6,,35,34.3,5.53,0.2,,,,,,
909636,ISC-GEM,1927,11,18,3,24,47.15,,125.986,9.564,14.9,8.9,,35,23.1,6.33,0.34,,,,,,
908451,ISC-GEM,1928,1,6,4,7,44.1,,126.171,6.197,37.1,18.4,,35,36.5,5.77,0.2,,,,,,
908474,ISC-GEM,1928,1,27,22,22,32.54,,122.075,21.53,21,11.2,,15,25,5.91,0.3,,,,,,
908483,ISC-GEM,1928,2,6,3,52,22.57,,126.513,7.726,16.2,9.4,,35,36,6.53,0.53,,,,,,
908507,ISC-GEM,1928,2,23,9,20,39.55,,121.788,21.128,25.1,11.9,,15,25,5.68,0.2,,,,,,
908527,ISC-GEM,1928,3,9,10,53,30.63,,128.042,3.951,18.6,8.4,,35,31.1,5.91,0.23,,,,,,
908533,ISC-GEM,1928,3,12,16,55,48.28,,124.909,10.348,56.7,26.8,,15,15.1,5.68,0.21,,,,,,
908649,ISC-GEM,1928,4,27,13,48,49.68,,120.348,20.791,20.9,10,,15,8.9,5.54,0.2,,,,,,
908675,ISC-GEM,1928,5,17,10,55,32.54,,125.998,2.019,24.2,12,,25,20.6,5.84,0.21,,,,,,
908712,ISC-GEM,1928,6,1,8,0,16.71,,125.885,2.081,32,12.9,,35,20.6,5.54,0.2,,,,,,
908741,ISC-GEM,1928,6,15,6,12,42.47,,121.145,12.856,8.7,5.7,,25,28.1,6.99,0.56,,,,,,
908742,ISC-GEM,1928,6,15,17,16,24.8,,120.947,12.759,10.5,7.8,,15,28.1,6.73,0.27,,,,,,
908750,ISC-GEM,1928,6,18,21,56,43.24,,129.176,2.121,47.2,20.1,,15,12.7,5.74,0.2,,,,,,
908761,ISC-GEM,1928,6,29,19,39,52.09,,127.133,4.351,25.6,14,,25,25.4,5.97,0.2,,,,,,
908769,ISC-GEM,1928,7,4,21,38,34.31,,126.586,23.305,24.4,11.9,,15,25,5.66,0.2,,,,,,
908824,ISC-GEM,1928,8,5,14,41,58.96,,119.621,15.699,14.2,10.9,,35,13.3,6.16,0.22,,,,,,
908827,ISC-GEM,1928,8,12,8,8,41.74,,126.962,1.908,11.4,7.1,,15,37.4,6.12,0.23,,,,,,
908867,ISC-GEM,1928,8,29,17,16,8.64,,121.345,22.741,15.1,7.9,,15,12.3,5.88,0.2,,,,,,
908868,ISC-GEM,1928,8,30,6,31,7.81,,121.181,22.878,13.8,8.8,,15,6.6,5.98,0.2,,,,,,
908888,ISC-GEM,1928,9,13,3,26,27.35,,126.011,1.927,12.1,7.5,,35,20.6,6.41,0.28,,,,,,
908953,ISC-GEM,1928,11,3,9,5,54.25,,122.324,19.802,56,11.4,,15,12.9,5.73,0.2,,,,,,
908972,ISC-GEM,1928,11,21,16,59,59.51,,120.316,14.999,23.7,11.2,,15,27.4,5.93,0.2,,,,,,
909023,ISC-GEM,1928,12,19,11,37,19.4,,124.245,6.707,11.5,6.2,,25,25,7.42,0.66,,,,,,
909032,ISC-GEM,1928,12,28,14,19,43.26,,123.345,7.712,11.6,6.5,,15,19.3,6.77,0.29,,,,,,
907841,ISC-GEM,1929,1,2,2,27,11.81,,121.204,23.987,8.7,7,,35,6.8,5.81,0.2,,,,,,
907857,ISC-GEM,1929,1,16,8,6,11.76,,120.812,16.51,8.8,6.5,,25,9.7,6.42,0.48,,,,,,
907901,ISC-GEM,1929,2,15,5,40,46.56,,125.993,7.005,16.7,12.6,,15,20.8,5.94,0.2,,,,,,
907956,ISC-GEM,1929,3,20,21,10,34.48,,120.187,19.113,16,9.7,,15,5,5.96,0.51,,,,,,
907990,ISC-GEM,1929,4,5,8,26,48.81,,121.176,19.866,32,11,,15,10.4,5.64,0.21,,,,,,
