eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,Anthropogenic

869226,EHB,EHB|USCGS-mb,1964,4,30,14,54,10.33,,120.932,20.072,17.9,10.2,68.0,98.0,12.4,5.95,0.283,
867418,ISC,ISC|USCGS-mb,1964,5,2,22,46,25.47,0.69,122.957,1.8689,25.65,10.91,63.0,480.0,,5.37,0.283,
867581,ISC-EHB,ISC-EHB|USCGS-mb,1964,5,8,21,45,46.43,,126.487,1.724,20.6,11.5,62.0,15.0,,4.79,0.283,
867608,ISC-EHB,ISC-EHB|USCGS-mb,1964,5,9,13,48,0.96,,123.332,8.046,21.6,11.6,64.0,15.0,,5.95,0.283,
867626,ISC,ISC|USCGS-mb,1964,5,10,7,50,48.87,0.66,126.4646,1.5032,30.37,15.12,70.0,47.0,,5.83,0.283,
867660,ISC-EHB,ISC-EHB|USCGS-mb,1964,5,11,14,57,18.47,,127.818,4.256,12.8,5.4,63.0,64.0,6.6,5.95,0.283,
867662,ISC-EHB,ISC-EHB|USCGS-mb,1964,5,11,16,53,38.71,,123.907,6.331,16.8,7.6,61.0,539.0,8.8,5.37,0.283,
867946,ISC,ISC|USCGS-mb,1964,5,22,10,3,52.84,0.74,124.6181,2.2642,30.96,13.25,65.0,288.0,,5.02,0.283,
867951,ISC,ISC|USCGS-mb,1964,5,22,14,7,6.7,0.75,126.605,8.5865,28.32,17.06,62.0,53.0,,4.67,0.283,
868093,EHB,EHB|USCGS-mb,1964,5,28,6,32,55.48,,126.526,7.742,16.8,8.5,67.0,105.0,,4.79,0.283,
868116,ISC-EHB,ISC-EHB|USCGS-mb,1964,5,28,23,28,31.85,,127.146,1.522,9.9,4.8,59.0,127.0,4.0,6.64,0.283,
868147,ISC-EHB,ISC-EHB|USCGS-mb,1964,5,30,17,23,15.47,,126.253,9.244,14.5,7.9,71.0,60.0,,5.48,0.283,
866475,EHB,EHB|USCGS-mb,1964,6,1,8,49,40.35,,125.867,4.704,25.8,12.1,61.0,132.0,,5.48,0.283,
866709,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1964,6,10,22,16,40.94,,127.34,5.031,7.0,4.0,,92.5,4.9,5.95,1.13,
866751,ISC-EHB,ISC-EHB|USCGS-mb,1964,6,12,15,56,24.23,,124.715,11.223,7.7,4.9,53.0,195.0,3.4,5.72,0.283,
867035,ISC-EHB,ISC-EHB|USCGS-mb,1964,6,19,10,34,32.88,,121.183,22.658,13.1,11.3,68.0,18.0,3.1,5.37,0.283,
867132,ISC-EHB,ISC-EHB|USCGS-mb,1964,6,22,21,23,37.23,,120.477,13.655,8.9,5.4,62.0,72.0,5.4,6.87,0.283,
867161,ISC-EHB,ISC-EHB|USCGS-mb,1964,6,23,19,10,17.14,,126.461,2.936,14.0,6.6,59.0,63.0,,5.48,0.283,
865638,ISC-EHB,ISC-EHB|USCGS-mb,1964,7,1,13,33,20.05,,127.206,1.642,18.7,8.7,65.0,103.0,,4.56,0.283,
865850,ISC-EHB,ISC-EHB|USCGS-mb,1964,7,8,7,7,18.48,,121.147,19.164,9.1,6.4,69.0,40.0,5.6,4.67,0.283,
865851,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1964,7,8,7,45,48.43,,128.293,3.219,8.6,5.3,,35.0,25.0,5.65,0.2,
865870,ISC-EHB,ISC-EHB|USCGS-mb,1964,7,9,5,47,10.33,,119.681,15.394,7.9,5.0,55.0,46.0,2.2,5.72,0.283,
865934,ISC-EHB,ISC-EHB|USCGS-mb,1964,7,11,8,29,13.45,,121.394,22.386,10.1,8.0,110.0,112.0,3.0,5.02,0.283,
865948,ISC-EHB,ISC-EHB|USCGS-mb,1964,7,11,15,35,54.8,,126.171,5.868,15.8,8.6,65.0,160.0,,5.14,0.283,
866018,ISC-EHB,ISC-EHB|USCGS-mb,1964,7,13,17,12,5.31,,126.479,7.989,13.7,6.9,68.0,128.0,4.4,3.98,0.283,
866196,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1964,7,21,13,13,2.73,,121.945,11.611,7.6,5.6,,35.0,15.3,5.69,0.2,
866217,EHB,EHB|USCGS-mb,1964,7,22,8,51,27.82,,125.612,3.995,21.9,12.2,71.0,190.0,,4.44,0.283,
866325,ISC-EHB,ISC-EHB|USCGS-mb,1964,7,25,21,29,33.6,,128.225,2.932,11.9,8.0,61.0,15.0,,5.25,0.283,
866353,ISC-EHB,ISC-EHB|USCGS-mb,1964,7,26,20,24,17.35,,126.321,4.067,12.3,7.2,64.0,45.0,,4.9,0.283,
866460,ISC-EHB,ISC-EHB|USCGS-mb,1964,7,31,14,51,25.41,,128.347,2.28,12.7,7.6,63.0,35.0,,4.44,0.283,
864850,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1964,8,3,7,44,45.22,,121.164,22.522,5.5,3.9,,20.0,6.2,5.62,0.2,
864923,ISC,ISC|USCGS-mb,1964,8,5,5,8,7.76,0.74,120.9121,19.3009,15.84,9.017,82.0,32.0,,4.67,0.283,
865275,ISC,ISC|USCGS-mb,1964,8,20,17,30,36.17,0.65,128.2713,2.9526,21.6,12.67,51.0,100.0,,4.9,0.283,
865393,ISC,ISC|USCGS-mb,1964,8,24,19,54,1.04,0.79,120.4645,12.9282,21.62,13.41,84.0,27.0,,5.14,0.283,
865473,ISC,ISC|USCGS-mb,1964,8,27,8,27,44.02,1.43,123.3944,6.5757,50.7,22.14,37.0,35.0,,5.25,0.283,
865523,ISC-EHB,ISC-EHB|USCGS-mb,1964,8,28,18,17,6.81,,120.854,23.506,12.0,9.7,96.0,15.0,,5.37,0.283,
864220,ISC,ISC|USCGS-mb,1964,9,7,3,38,51.7,0.62,121.9578,20.0265,16.23,6.365,87.0,27.0,,4.79,0.283,
864242,ISC-EHB,ISC-EHB|USCGS-mb,1964,9,8,7,54,57.85,,125.965,5.888,14.3,6.7,57.0,170.0,,5.6,0.283,
864257,ISC-EHB,ISC-EHB|ISC-Mb,1964,9,8,20,23,5.57,,126.231,6.792,22.0,9.6,69.0,120.0,,5.28,0.454,
864522,ISC-EHB,ISC-EHB|USCGS-mb,1964,9,19,19,41,21.5,,121.128,21.586,15.7,11.5,47.0,15.0,,4.32,0.283,
864547,ISC,ISC|USCGS-mb,1964,9,20,20,43,9.72,0.63,121.9685,23.9135,9.187,5.603,105.0,17.0,,5.25,0.283,
864628,ISC-EHB,ISC-EHB|ISC-Mb,1964,9,23,17,18,11.24,,126.424,5.803,13.1,7.9,64.0,110.0,,5.39,0.628,
864703,ISC-EHB,ISC-EHB|USCGS-mb,1964,9,27,7,53,53.76,,126.54,2.182,20.0,10.0,60.0,55.0,,5.48,0.283,
864705,ISC-EHB,ISC-EHB|USCGS-mb,1964,9,27,9,53,28.65,,126.431,2.065,19.0,9.2,60.0,15.0,,5.25,0.283,
863188,ISC,ISC|USCGS-mb,1964,10,1,16,25,22.61,1.14,125.35,11.7616,55.84,13.86,38.0,10.0,,4.56,0.283,
863301,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1964,10,6,6,11,33.13,,119.592,18.585,7.6,6.1,,20.0,3.3,5.82,0.37,
863357,ISC,ISC|USCGS-mb,1964,10,8,4,36,27.99,1.1,126.6343,3.3154,37.84,13.14,49.0,53.0,,4.09,0.283,
863443,ISC-EHB,ISC-EHB|USCGS-mb,1964,10,11,23,33,24.44,,126.728,6.102,19.5,9.3,61.0,117.0,14.5,5.6,0.283,
863462,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1964,10,12,15,42,56.21,,126.532,2.994,6.6,4.4,,60.0,5.1,5.96,0.2,
863465,EHB,EHB|USCGS-mb,1964,10,13,0,49,47.18,,122.631,8.297,31.5,13.0,51.0,81.0,,4.56,0.283,
863470,EHB,EHB|USCGS-mb,1964,10,13,5,31,51.9,,126.387,1.886,21.9,11.7,60.0,82.0,,5.25,0.283,
863876,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1964,10,26,14,22,57.89,,126.678,2.011,10.5,4.9,,35.0,20.0,5.69,0.35,
863897,ISC-EHB,ISC-EHB|USCGS-mb,1964,10,27,2,40,20.97,,120.874,18.864,11.9,9.7,79.0,35.0,,4.56,0.283,
864032,ISC-EHB,ISC-EHB|USCGS-mb,1964,10,31,18,54,30.44,,126.562,8.746,13.5,6.9,59.0,70.0,,5.6,0.283,
862362,ISC-EHB,ISC-EHB|USCGS-mb,1964,11,1,5,15,48.13,,120.567,13.651,11.3,6.6,67.0,77.0,4.6,5.02,0.283,
862370,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1964,11,1,12,26,7.0,,128.096,3.131,7.1,4.1,,60.0,5.1,5.87,0.2,
862472,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1964,11,4,21,2,40.06,,125.778,7.01,13.4,6.9,,70.7,6.0,5.55,0.38,
862580,ISC-EHB,ISC-EHB|USCGS-mb,1964,11,9,18,43,38.34,,121.234,19.361,6.9,4.5,56.0,15.0,,5.14,0.283,
862735,EHB,EHB|USCGS-mb,1964,11,15,4,34,31.65,,126.36,9.45,15.0,8.2,70.0,55.0,,5.72,0.283,
862899,ISC-EHB,ISC-EHB|USCGS-mb,1964,11,21,2,16,45.86,,123.883,0.986,9.1,4.7,55.0,247.0,,6.06,0.283,
863013,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1964,11,24,12,40,59.35,,124.683,13.023,5.5,3.8,,35.0,22.0,6.35,0.29,
863014,ISC-EHB,ISC-EHB|USCGS-mb,1964,11,24,12,50,37.92,,124.862,13.285,11.0,7.3,61.0,58.0,3.8,5.14,0.283,
863024,ISC,ISC|USCGS-mb,1964,11,24,21,32,20.03,0.96,125.0255,13.4922,34.97,13.37,21.0,33.0,,5.02,0.283,
