eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,Anthropogenic,Unnamed: 20
904891,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1934,4,16,3,59,24.08,,126.925,7.906,14.0,10.2,,35.0,15.6,5.99,0.48,,904891|ISC-GEM|5.99|Mw || 1949601|PAS|6.00|MS || 1949601|PAS|6.00|MS
904892,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1934,4,16,13,40,22.37,,120.928,21.537,7.0,6.3,,15.0,9.2,5.71,0.2,,904892|ISC-GEM|5.71|Mw || 1949603|PAS|6.00|MS || 1949603|PAS|6.00|MS
904923,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1934,5,7,1,54,58.06,,127.773,9.432,29.0,19.2,,15.0,25.0,5.75,0.2,,904923|ISC-GEM|5.75|Mw
904924,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1934,5,7,4,6,40.17,,127.106,9.192,24.4,17.7,,15.0,16.2,5.63,0.2,,904924|ISC-GEM|5.63|Mw
904934,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1934,5,13,17,3,0.8,,121.641,17.988,21.5,9.7,,35.0,10.8,5.6,0.2,,904934|ISC-GEM|5.60|Mw
904945,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1934,5,21,4,36,21.51,,121.873,22.596,31.3,25.6,,15.0,11.2,5.83,0.22,,904945|ISC-GEM|5.83|Mw
904987,GUTE,GUTE|PAS-Ms,1934,6,14,19,8,36.0,,121.0,2.0,,,,35.0,,5.6,0.2,,1949773|PAS|5.60|MS
905064,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1934,7,21,4,37,31.58,,120.283,16.384,17.8,9.2,,15.0,8.6,5.82,0.2,,905064|ISC-GEM|5.82|Mw
905084,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1934,7,31,5,58,38.94,,120.075,14.879,10.5,8.3,,35.0,18.9,5.87,0.28,,905084|ISC-GEM|5.87|Mw || 1949940|PAS|5.60|MS || 1949940|PAS|5.60|MS
905105,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1934,8,12,23,49,23.99,,126.728,8.151,7.3,5.5,,35.0,33.8,6.86,0.41,,905105|ISC-GEM|6.86|Mw || 1949978|PAS|6.90|MS || 05952150|ISC|7.00|MS || 1949978|PAS|6.90|MS || 05952150|ISC|7.00|MS
905151,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1934,9,6,2,16,37.82,,125.905,7.149,17.9,12.9,,15.0,20.8,5.69,0.45,,905151|ISC-GEM|5.69|Mw || 1950046|PAS|6.00|MS || 1950046|PAS|6.00|MS
905237,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1934,10,28,23,36,11.47,,123.389,23.529,8.9,4.3,,15.0,7.1,5.67,0.33,,905237|ISC-GEM|5.67|Mw || 1950160|PAS|5.60|MS || 1950160|PAS|5.60|MS
905242,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1934,10,30,20,53,2.05,,125.281,7.591,33.3,20.0,,15.0,23.9,5.67,0.35,,905242|ISC-GEM|5.67|Mw
905287,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1934,11,26,12,9,12.57,,120.414,13.763,6.9,6.3,,35.0,27.7,6.2,0.44,,905287|ISC-GEM|6.20|Mw || 1950244|PAS|6.20|MS || 1950244|PAS|6.20|MS
905289,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1934,11,27,6,14,12.16,,127.2,2.263,7.8,5.8,,15.0,17.1,6.36,0.36,,905289|ISC-GEM|6.36|Mw || 1950248|PAS|6.80|MS || 05952165|ISC|6.40|MS || 1950248|PAS|6.80|MS || 05952165|ISC|6.40|MS
904036,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1935,1,11,0,8,22.42,,120.097,18.894,16.6,11.6,,15.0,5.0,6.01,0.35,,904036|ISC-GEM|6.01|Mw
904046,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1935,1,18,17,13,49.51,,125.276,23.801,9.7,5.2,,15.0,12.6,6.01,0.25,,904046|ISC-GEM|6.01|Mw
904079,GUTE,GUTE|PAS-Ms,1935,2,4,21,7,31.0,,127.0,2.5,,,,80.0,,6.5,0.2,,1948287|PAS|6.50|MS
904081,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1935,2,7,17,29,7.26,,122.874,13.527,11.6,9.4,,15.0,17.6,6.04,0.2,,904081|ISC-GEM|6.04|Mw || 1948293|PAS|6.00|MS || 1948293|PAS|6.00|MS
904109,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1935,2,27,9,9,19.79,,126.33,2.232,11.6,9.4,,15.0,20.0,5.97,0.3,,904109|ISC-GEM|5.97|Mw || 1948338|PAS|6.00|MS || 1948338|PAS|6.00|MS
904167,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1935,3,24,14,26,54.83,,123.578,21.841,11.6,6.2,,15.0,25.0,5.47,0.36,,904167|ISC-GEM|5.47|Mw
904271,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1935,5,7,5,55,27.89,,126.269,5.656,16.0,8.7,,15.0,24.0,5.96,0.55,,904271|ISC-GEM|5.96|Mw || 1948574|PAS|6.00|MS || 1948574|PAS|6.00|MS
904288,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1935,5,20,5,21,35.32,,126.627,3.722,10.9,8.8,,15.0,19.1,6.01,0.2,,904288|ISC-GEM|6.01|Mw || 1948600|PAS|6.00|MS || 1948600|PAS|6.00|MS
904298,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1935,5,24,5,36,41.64,,124.941,12.086,8.9,5.9,,45.0,14.8,6.79,0.42,,904298|ISC-GEM|6.79|Mw || 1948617|PAS|6.80|MS || 05952191|ISC|6.70|MS || 1948617|PAS|6.80|MS || 05952191|ISC|6.70|MS
904299,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1935,5,25,0,8,0.88,,125.714,12.131,10.0,7.8,,25.0,13.4,6.08,0.2,,904299|ISC-GEM|6.08|Mw || 1948620|PAS|6.20|MS || 1948620|PAS|6.20|MS
904302,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1935,5,25,8,33,4.21,,125.586,11.746,17.8,15.5,,25.0,16.9,5.71,0.2,,904302|ISC-GEM|5.71|Mw
904303,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1935,5,26,22,3,53.5,,125.804,12.034,10.1,7.6,,25.0,6.5,6.17,0.2,,904303|ISC-GEM|6.17|Mw || 1948625|PAS|6.20|MS || 1948625|PAS|6.20|MS
904318,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1935,6,1,14,39,47.53,,126.811,7.737,11.1,9.0,,35.0,16.3,5.77,0.35,,904318|ISC-GEM|5.77|Mw || 1948647|PAS|6.00|MS || 1948647|PAS|6.00|MS
904338,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1935,6,9,6,33,59.09,,125.692,11.61,14.6,11.7,,25.0,16.9,5.7,0.32,,904338|ISC-GEM|5.70|Mw
904347,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1935,6,18,22,27,46.69,,125.592,12.408,9.3,8.1,,25.0,11.1,5.96,0.2,,904347|ISC-GEM|5.96|Mw || 1948686|PAS|6.20|MS || 1948686|PAS|6.20|MS
904378,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1935,7,7,13,23,19.09,,119.504,18.195,7.1,5.1,,15.0,4.1,6.12,0.36,,904378|ISC-GEM|6.12|Mw
904445,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1935,8,1,14,6,38.85,,125.821,11.732,10.5,7.2,,25.0,16.2,6.19,0.36,,904445|ISC-GEM|6.19|Mw
904467,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1935,8,17,20,26,23.76,,119.882,19.023,45.9,14.6,,15.0,5.0,5.67,0.2,,904467|ISC-GEM|5.67|Mw
904497,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1935,9,4,1,37,43.77,,121.284,22.331,4.4,3.6,,15.0,3.8,7.09,0.53,,904497|ISC-GEM|7.09|Mw || 1948927|PAS|7.20|MS || 05952204|ISC|7.00|MS || PS1992283|ps1992-ph|7.00|Ms || 1948927|PAS|7.20|MS || 05952204|ISC|7.00|MS || PS1992283|ps1992-ph|7.00|Ms
904500,ISC-GEM,ISC-GEM|ISC-GEM-Mw,1935,9,4,3,28,4.68,,121.132,22.392,5.6,4.1,,15.0,6.2,6.19,0.33,,904500|ISC-GEM|6.19|Mw
