eventID,originID,magnitudeID,value,sigma,magType,magAgency
906681,1952587,1952587|PAS|7.00|MS,7.0,0.0,MS,PAS
906681,02319360,02319360|ABE1|7.10|mB,7.1,0.0,mB,ABE1
906681,02319360,02319360|ABE1|6.80|Ms,6.8,0.0,Ms,ABE1
906681,02319360,02319360|GUTE|7.00|UK,7.0,0.0,UK,GUTE
906681,02319360,02319360|B&D|7.00|UK,7.0,0.0,UK,B&D
906681,05951930,05951930|ISC|6.70|MS,6.7,0.2,MS,ISC
906682,1952590,1952590|PAS|6.90|MS,6.9,0.0,MS,PAS
906682,02319361,02319361|GUTE|6.70|UK,6.7,0.0,UK,GUTE
906682,05951931,05951931|ISC|6.70|MS,6.7,0.2,MS,ISC
906789,1952749,1952749|PAS|6.20|MS,6.2,0.0,MS,PAS
906870,1952873,1952873|PAS|6.50|MS,6.5,0.0,MS,PAS
906870,05951943,05951943|ISC|6.50|MS,6.5,0.1,MS,ISC
907045,1953140,1953140|PAS|6.00|MS,6.0,0.0,MS,PAS
907096,1953222,1953222|PAS|5.60|MS,5.6,0.0,MS,PAS
907097,1953224,1953224|PAS|5.60|MS,5.6,0.0,MS,PAS
907099,1953227,1953227|PAS|6.20|MS,6.2,0.0,MS,PAS
907099,05951970,05951970|ISC|6.20|MS,6.2,0.1,MS,ISC
905983,1951428,1951428|PAS|5.60|MS,5.6,0.0,MS,PAS
906124,1951665,1951665|PAS|5.60|MS,5.6,0.0,MS,PAS
906202,1951795,1951795|PAS|5.80|MS,5.8,0.0,MS,PAS
906213,1951816,1951816|PAS|6.20|MS,6.2,0.0,MS,PAS
906216,1951822,1951822|PAS|6.80|MS,6.8,0.0,MS,PAS
906216,02319410,02319410|GUTE|6.60|UK,6.6,0.0,UK,GUTE
906223,1951833,1951833|PAS|6.20|MS,6.2,0.0,MS,PAS
906224,1951835,1951835|PAS|6.50|MS,6.5,0.0,MS,PAS
906226,1951839,1951839|PAS|6.00|MS,6.0,0.0,MS,PAS
906281,1951929,1951929|PAS|6.00|MS,6.0,0.0,MS,PAS
906284,1951937,1951937|PAS|5.60|MS,5.6,0.0,MS,PAS
906297,1951956,1951956|PAS|6.00|MS,6.0,0.0,MS,PAS
906316,1951994,1951994|PAS|6.50|MS,6.5,0.0,MS,PAS
906349,1952052,1952052|PAS|6.20|MS,6.2,0.0,MS,PAS
