eventID,datetime,year,month,day,hour,minute,second,latitude,longitude,depth,magnitude,location,magnitudeType,event_type
61228107,2019-08-02 17:28:21+00:00,2019,08,02,17,28,21,12.87,124.96,20,5,034 km N 06° E of Pambujan (Northern Samar),Ms,TECTONIC
61265492,2021-09-02 07:23:27+00:00,2021,09,02,07,23,27,11.51,124.38,7,5,011 km N 63° W of Biliran (Biliran),Mw,TECTONIC
61222843,2018-07-02 12:47:30+00:00,2018,07,02,12,47,30,10.58,126.49,31,4.9,077 km N 36° E of Burgos (Surigao del Norte),Ms,TECTONIC
61223386,2018-06-02 16:29:17+00:00,2018,06,02,16,29,17,4.55,126.36,86,4.9,139 km S 45° E of Sarangani (Davao Occidental),Ms,TECTONIC
61201150,2015-05-02 09:02:00+00:00,2015,05,02,09,02,00,6.18,124.32,12,4.8,013 km S 71° E of Palimbang (Sultan Kudarat),Ms,TECTONIC
61203376,2015-05-02 09:02:00+00:00,2015,05,02,09,02,00,6.18,124.32,12,4.8,013 km S 71° E of Palimbang (Sultan Kudarat),Ms,TECTONIC
61204866,2015-05-02 09:02:00+00:00,2015,05,02,09,02,00,6.18,124.32,12,4.8,013 km S 71° E of Palimbang (Sultan Kudarat),Ms,TECTONIC
61208474,2015-05-02 09:02:00+00:00,2015,05,02,09,02,00,6.18,124.32,12,4.8,013 km S 71° E of Palimbang (Sultan Kudarat),Ms,TECTONIC
61209873,2015-05-02 09:02:00+00:00,2015,05,02,09,02,00,6.18,124.32,12,4.8,013 km S 71° E of Palimbang (Sultan Kudarat),Ms,TECTONIC
61246642,2020-07-02 19:00:24+00:00,2020,07,02,19,00,24,4.92,126.47,36,4.8,142 km S 42° E of Jose Abad Santos (Davao Occidental),Ms,TECTONIC
61252312,2020-10-02 06:56:54+00:00,2020,10,02,06,56,54,15.87,119.87,15,4.8,006 km N 41° W of Infanta (Pangasinan),Mw,TECTONIC
61273682,2022-06-02 11:55:41+00:00,2022,06,02,11,55,41,9,126.28,59,4.8,004 km N 02° E of Bayabas (Surigao Del Sur),Mw,TECTONIC
61273693,2022-06-02 03:06:40+00:00,2022,06,02,03,06,40,6.21,127.78,77,4.8,174 km S 58° E of Tarragona (Davao Oriental),Ms,TECTONIC
61283050,2023-01-02 22:09:33+00:00,2023,01,02,22,09,33,8.44,127.05,1,4.8,079 km N 84° E of Hinatuan (Surigao Del Sur),Mw,TECTONIC
